-0.905088,1.09205,-0.905088,1.09205
-0.908104,1.09572,-0.908104,1.09572
-0.911124,1.0994,-0.911124,1.0994
-0.91415,1.10309,-0.91415,1.10309
-0.917183,1.10678,-0.917183,1.10678
-0.908001,1.09577,-0.908001,1.09577
-0.91102,1.09944,-0.91102,1.09944
-0.914044,1.10312,-0.914044,1.10312
-0.917073,1.1068,-0.917073,1.1068
-0.920107,1.1105,-0.920107,1.1105
-0.911552,1.10024,-0.911552,1.10024
-0.914572,1.10392,-0.914572,1.10392
-0.917595,1.10761,-0.917595,1.10761
-0.920621,1.1113,-0.920621,1.1113
-0.92365,1.115,-0.92365,1.115
-0.9157,1.10547,-0.9157,1.10547
-0.91872,1.10915,-0.91872,1.10915
-0.921746,1.11283,-0.921746,1.11283
-0.924777,1.11653,-0.924777,1.11653
-0.927813,1.12022,-0.927813,1.12022
-0.920457,1.1114,-0.920457,1.1114
-0.923483,1.11509,-0.923483,1.11509
-0.926514,1.11878,-0.926514,1.11878
-0.92955,1.12248,-0.92955,1.12248
-0.93259,1.12619,-0.93259,1.12619
-0.913988,1.1038,-0.913988,1.1038
-0.91699,1.10747,-0.91699,1.10747
-0.919997,1.11114,-0.919997,1.11114
-0.923007,1.11481,-0.923007,1.11481
-0.92602,1.11849,-0.92602,1.11849
-0.908339,1.09721,-0.908339,1.09721
-0.911317,1.10085,-0.911317,1.10085
-0.9143,1.10449,-0.9143,1.10449
-0.917286,1.10814,-0.917286,1.10814
-0.920277,1.11179,-0.920277,1.11179
-0.903483,1.09157,-0.903483,1.09157
-0.906439,1.09518,-0.906439,1.09518
-0.909396,1.0988,-0.909396,1.0988
-0.912355,1.10242,-0.912355,1.10242
-0.915318,1.10605,-0.915318,1.10605
-0.899368,1.08686,-0.899368,1.08686
-0.902298,1.09044,-0.902298,1.09044
-0.905231,1.09403,-0.905231,1.09403
-0.908168,1.09762,-0.908168,1.09762
-0.911108,1.10122,-0.911108,1.10122
-0.895971,1.08301,-0.895971,1.08301
-0.898878,1.08657,-0.898878,1.08657
-0.901788,1.09013,-0.901788,1.09013
-0.904703,1.0937,-0.904703,1.0937
-0.907621,1.09727,-0.907621,1.09727
-0.893265,1.08,-0.893265,1.08
-0.896151,1.08353,-0.896151,1.08353
-0.899042,1.08708,-0.899042,1.08708
-0.901936,1.09063,-0.901936,1.09063
-0.904835,1.09418,-0.904835,1.09418
-0.891233,1.07782,-0.891233,1.07782
-0.894104,1.08134,-0.894104,1.08134
-0.896979,1.08486,-0.896979,1.08486
-0.899858,1.08839,-0.899858,1.08839
-0.90274,1.09192,-0.90274,1.09192
-0.889861,1.07643,-0.889861,1.07643
-0.892716,1.07993,-0.892716,1.07993
-0.895573,1.08343,-0.895573,1.08343
-0.898433,1.08693,-0.898433,1.08693
-0.901295,1.09044,-0.901295,1.09044
-0.889106,1.07578,-0.889106,1.07578
-0.891941,1.07926,-0.891941,1.07926
-0.89478,1.08275,-0.89478,1.08275
-0.897625,1.08623,-0.897625,1.08623
-0.900474,1.08972,-0.900474,1.08972
-0.888964,1.07587,-0.888964,1.07587
-0.891789,1.07934,-0.891789,1.07934
-0.894618,1.0828,-0.894618,1.0828
-0.897449,1.08628,-0.897449,1.08628
-0.900283,1.08976,-0.900283,1.08976
-0.889424,1.07669,-0.889424,1.07669
-0.892233,1.08014,-0.892233,1.08014
-0.895045,1.08359,-0.895045,1.08359
-0.897861,1.08705,-0.897861,1.08705
